"transect","year","soil","slope_class","landform","habitat","rdm_mean","rdm_sd","rdm_n"
"AD10",1997,"SuD",2,"foothills","grassland",800,NA,1
"AD10",1997,"SuD",3,"foothills","woodland",525,530.330085889911,2
"AD10",1997,"ThE",1,"foothills","woodland",3500,1131.37084989848,2
"AD10",1997,"ThE",3,"foothills","grassland",NA,NA,0
"AD10",1997,"ThE",3,"foothills","woodland",NA,NA,0
"AD10",1998,"SuD",2,"foothills","grassland",800,NA,1
"AD10",1998,"SuD",3,"foothills","woodland",1425,318.198051533946,2
"AD10",1998,"ThE",1,"foothills","woodland",5225,2580.9397513309,2
"AD10",1998,"ThE",3,"foothills","grassland",NA,NA,0
"AD10",1998,"ThE",3,"foothills","woodland",NA,NA,0
"AD10",1999,"SuD",2,"foothills","grassland",550,NA,1
"AD10",1999,"SuD",3,"foothills","woodland",1000,212.132034355964,2
"AD10",1999,"ThE",1,"foothills","woodland",1725,954.594154601839,2
"AD10",1999,"ThE",3,"foothills","grassland",NA,NA,0
"AD10",1999,"ThE",3,"foothills","woodland",NA,NA,0
"AD10",2000,"SuD",2,"foothills","grassland",1375,1520.27957955108,2
"AD10",2000,"SuD",3,"foothills","woodland",2250,2192.0310216783,2
"AD10",2000,"ThE",1,"foothills","woodland",975,1166.7261889578,2
"AD10",2000,"ThE",3,"foothills","grassland",1450,777.817459305202,2
"AD10",2000,"ThE",3,"foothills","woodland",1400,565.685424949238,2
"AD10",2001,"SuD",2,"foothills","grassland",2050,1202.08152801713,2
"AD10",2001,"SuD",3,"foothills","woodland",1150,777.817459305202,2
"AD10",2001,"ThE",1,"foothills","woodland",450,353.553390593274,2
"AD10",2001,"ThE",3,"foothills","grassland",1350,919.238815542512,2
"AD10",2001,"ThE",3,"foothills","woodland",450,212.132034355964,2
"AD10",2002,"SuD",2,"foothills","grassland",1075,742.462120245875,2
"AD10",2002,"SuD",3,"foothills","woodland",1000,989.949493661167,2
"AD10",2002,"ThE",1,"foothills","woodland",1150,1202.08152801713,2
"AD10",2002,"ThE",3,"foothills","grassland",1700,1131.37084989848,2
"AD10",2002,"ThE",3,"foothills","woodland",1600,424.264068711929,2
"AD10",2003,"SuD",2,"foothills","grassland",625,813.17279836453,2
"AD10",2003,"SuD",3,"foothills","woodland",600,282.842712474619,2
"AD10",2003,"ThE",1,"foothills","woodland",650,212.132034355964,2
"AD10",2003,"ThE",3,"foothills","grassland",325,106.066017177982,2
"AD10",2003,"ThE",3,"foothills","woodland",450,494.974746830583,2
"AD10",2004,"SuD",2,"foothills","grassland",1075,388.908729652601,2
"AD10",2004,"SuD",3,"foothills","woodland",625,247.487373415292,2
"AD10",2004,"ThE",1,"foothills","woodland",400,282.842712474619,2
"AD10",2004,"ThE",3,"foothills","grassland",900,424.264068711929,2
"AD10",2004,"ThE",3,"foothills","woodland",750,353.553390593274,2
"AD10",2005,"SuD",2,"foothills","grassland",2000,707.106781186548,2
"AD10",2005,"SuD",3,"foothills","woodland",3350,2050.60966544099,2
"AD10",2005,"ThE",1,"foothills","woodland",400,424.264068711929,2
"AD10",2005,"ThE",3,"foothills","grassland",2000,707.106781186548,2
"AD10",2005,"ThE",3,"foothills","woodland",1750,1060.66017177982,2
"AD10",2014,"SuD",2,"foothills","grassland",1500,NA,1
"AD10",2014,"SuD",3,"foothills","woodland",975,247.487373415292,2
"AD10",2014,"ThE",1,"foothills","woodland",2125,35.3553390593274,2
"AD10",2014,"ThE",3,"foothills","grassland",1375,247.487373415292,2
"AD10",2014,"ThE",3,"foothills","woodland",1525,35.3553390593274,2
"AD11",1997,"TgD",1,"foothills","grassland",2600,NA,1
"AD11",1997,"TgD",1,"foothills","woodland",750,NA,1
"AD11",1997,"TgD",2,"foothills","woodland",NA,NA,0
"AD11",1997,"TgD",3,"foothills","woodland",NA,NA,0
"AD11",1997,"ThE",1,"foothills","woodland",5025,4419.41738241592,2
"AD11",1997,"ThE",2,"foothills","woodland",8900,NA,1
"AD11",1998,"TgD",1,"foothills","grassland",2050,NA,1
"AD11",1998,"TgD",1,"foothills","woodland",4650,NA,1
"AD11",1998,"TgD",2,"foothills","woodland",NA,NA,0
"AD11",1998,"TgD",3,"foothills","woodland",NA,NA,0
"AD11",1998,"ThE",1,"foothills","woodland",2175,176.776695296637,2
"AD11",1998,"ThE",2,"foothills","woodland",2000,NA,1
"AD11",1999,"TgD",1,"foothills","grassland",9750,NA,1
"AD11",1999,"TgD",1,"foothills","woodland",2500,NA,1
"AD11",1999,"TgD",2,"foothills","woodland",NA,NA,0
"AD11",1999,"TgD",3,"foothills","woodland",NA,NA,0
"AD11",1999,"ThE",1,"foothills","woodland",4150,1484.92424049175,2
"AD11",1999,"ThE",2,"foothills","woodland",1800,NA,1
"AD11",2000,"TgD",1,"foothills","grassland",1400,NA,1
"AD11",2000,"TgD",1,"foothills","woodland",2450,777.817459305202,2
"AD11",2000,"TgD",2,"foothills","woodland",3000,141.42135623731,2
"AD11",2000,"TgD",3,"foothills","woodland",1800,1697.05627484771,2
"AD11",2000,"ThE",1,"foothills","woodland",3000,3394.11254969543,2
"AD11",2000,"ThE",2,"foothills","woodland",3750,NA,1
"AD11",2001,"TgD",1,"foothills","grassland",4300,NA,1
"AD11",2001,"TgD",1,"foothills","woodland",2250,70.7106781186548,2
"AD11",2001,"TgD",2,"foothills","woodland",2100,424.264068711929,2
"AD11",2001,"TgD",3,"foothills","woodland",3100,141.42135623731,2
"AD11",2001,"ThE",1,"foothills","woodland",2000,1697.05627484771,2
"AD11",2001,"ThE",2,"foothills","woodland",2400,NA,1
"AD11",2002,"TgD",1,"foothills","grassland",1600,NA,1
"AD11",2002,"TgD",1,"foothills","woodland",1600,707.106781186548,2
"AD11",2002,"TgD",2,"foothills","woodland",1850,919.238815542512,2
"AD11",2002,"TgD",3,"foothills","woodland",1250,353.553390593274,2
"AD11",2002,"ThE",1,"foothills","woodland",1250,777.817459305202,2
"AD11",2002,"ThE",2,"foothills","woodland",1800,NA,1
"AD11",2003,"TgD",1,"foothills","grassland",600,NA,1
"AD11",2003,"TgD",1,"foothills","woodland",350,494.974746830583,2
"AD11",2003,"TgD",2,"foothills","woodland",300,0,2
"AD11",2003,"TgD",3,"foothills","woodland",325,106.066017177982,2
"AD11",2003,"ThE",1,"foothills","woodland",850,494.974746830583,2
"AD11",2003,"ThE",2,"foothills","woodland",500,NA,1
"AD11",2004,"TgD",1,"foothills","grassland",800,NA,1
"AD11",2004,"TgD",1,"foothills","woodland",1250,1060.66017177982,2
"AD11",2004,"TgD",2,"foothills","woodland",750,353.553390593274,2
"AD11",2004,"TgD",3,"foothills","woodland",1150,919.238815542512,2
"AD11",2004,"ThE",1,"foothills","woodland",1800,282.842712474619,2
"AD11",2004,"ThE",2,"foothills","woodland",900,NA,1
"AD11",2005,"TgD",1,"foothills","grassland",1200,NA,1
"AD11",2005,"TgD",1,"foothills","woodland",1600,565.685424949238,2
"AD11",2005,"TgD",2,"foothills","woodland",900,141.42135623731,2
"AD11",2005,"TgD",3,"foothills","woodland",850,70.7106781186548,2
"AD11",2005,"ThE",1,"foothills","woodland",600,0,2
"AD11",2005,"ThE",2,"foothills","woodland",2800,NA,1
"AD11",2014,"TgD",1,"foothills","grassland",200,NA,1
"AD11",2014,"TgD",1,"foothills","woodland",400,212.132034355964,2
"AD11",2014,"TgD",2,"foothills","woodland",625,106.066017177982,2
"AD11",2014,"TgD",3,"foothills","woodland",325,176.776695296637,2
"AD11",2014,"ThE",1,"foothills","woodland",500,70.7106781186548,2
"AD11",2014,"ThE",2,"foothills","woodland",650,NA,1
"AD12",1997,"SuD",3,"foothills","grassland",4400,NA,1
"AD12",1997,"TgE",2,"foothills","grassland",800,NA,1
"AD12",1997,"TgE",3,"foothills","grassland",3975,1732.41161390704,2
"AD12",1997,"ThE",3,"foothills","grassland",NA,NA,0
"AD12",1997,"ThE",3,"foothills","woodland",NA,NA,0
"AD12",1997,"ToE",3,"foothills","grassland",600,NA,1
"AD12",1998,"SuD",3,"foothills","grassland",2800,NA,1
"AD12",1998,"TgE",2,"foothills","grassland",3350,NA,1
"AD12",1998,"TgE",3,"foothills","grassland",1525,954.594154601839,2
"AD12",1998,"ThE",3,"foothills","grassland",NA,NA,0
"AD12",1998,"ThE",3,"foothills","woodland",NA,NA,0
"AD12",1998,"ToE",3,"foothills","grassland",1650,NA,1
"AD12",1999,"SuD",3,"foothills","grassland",2600,NA,1
"AD12",1999,"TgE",2,"foothills","grassland",1500,NA,1
"AD12",1999,"TgE",3,"foothills","grassland",4075,3005.20382004283,2
"AD12",1999,"ThE",3,"foothills","grassland",NA,NA,0
"AD12",1999,"ThE",3,"foothills","woodland",NA,NA,0
"AD12",1999,"ToE",3,"foothills","grassland",900,NA,1
"AD12",2000,"SuD",3,"foothills","grassland",3800,NA,1
"AD12",2000,"TgE",2,"foothills","grassland",1600,NA,1
"AD12",2000,"TgE",3,"foothills","grassland",2300,424.264068711929,2
"AD12",2000,"ThE",3,"foothills","grassland",1366.66666666667,550.75705472861,3
"AD12",2000,"ThE",3,"foothills","woodland",2600,282.842712474619,2
"AD12",2000,"ToE",3,"foothills","grassland",500,NA,1
"AD12",2001,"SuD",3,"foothills","grassland",4000,NA,1
"AD12",2001,"TgE",2,"foothills","grassland",2000,NA,1
"AD12",2001,"TgE",3,"foothills","grassland",2300,424.264068711929,2
"AD12",2001,"ThE",3,"foothills","grassland",2300,300,3
"AD12",2001,"ThE",3,"foothills","woodland",450,70.7106781186548,2
"AD12",2001,"ToE",3,"foothills","grassland",500,NA,1
"AD12",2002,"SuD",3,"foothills","grassland",4400,NA,1
"AD12",2002,"TgE",2,"foothills","grassland",1800,NA,1
"AD12",2002,"TgE",3,"foothills","grassland",1700,141.42135623731,2
"AD12",2002,"ThE",3,"foothills","grassland",1133.33333333333,251.661147842358,3
"AD12",2002,"ThE",3,"foothills","woodland",750,353.553390593274,2
"AD12",2002,"ToE",3,"foothills","grassland",1100,NA,1
"AD12",2003,"SuD",3,"foothills","grassland",2450,NA,1
"AD12",2003,"TgE",2,"foothills","grassland",1100,NA,1
"AD12",2003,"TgE",3,"foothills","grassland",1000,565.685424949238,2
"AD12",2003,"ThE",3,"foothills","grassland",800,100,3
"AD12",2003,"ThE",3,"foothills","woodland",500,282.842712474619,2
"AD12",2003,"ToE",3,"foothills","grassland",700,NA,1
"AD12",2004,"SuD",3,"foothills","grassland",1000,NA,1
"AD12",2004,"TgE",2,"foothills","grassland",100,NA,1
"AD12",2004,"TgE",3,"foothills","grassland",1300,282.842712474619,2
"AD12",2004,"ThE",3,"foothills","grassland",733.333333333333,305.505046330389,3
"AD12",2004,"ThE",3,"foothills","woodland",1350,212.132034355964,2
"AD12",2004,"ToE",3,"foothills","grassland",1200,NA,1
"AD12",2005,"SuD",3,"foothills","grassland",4700,NA,1
"AD12",2005,"TgE",2,"foothills","grassland",3350,NA,1
"AD12",2005,"TgE",3,"foothills","grassland",4900,1131.37084989848,2
"AD12",2005,"ThE",3,"foothills","grassland",1500,500,3
"AD12",2005,"ThE",3,"foothills","woodland",2750,353.553390593274,2
"AD12",2005,"ToE",3,"foothills","grassland",1250,NA,1
"AD12",2014,"SuD",3,"foothills","grassland",1450,NA,1
"AD12",2014,"TgE",2,"foothills","grassland",1500,NA,1
"AD12",2014,"TgE",3,"foothills","grassland",775,742.462120245875,2
"AD12",2014,"ThE",3,"foothills","grassland",1050,888.819441731559,3
"AD12",2014,"ThE",3,"foothills","woodland",1300,636.396103067893,2
"AD12",2014,"ToE",3,"foothills","grassland",1250,NA,1
"AL1",1997,"Txc",1,"terraces","grassland",275,176.776695296637,2
"AL1",1997,"Txc",2,"terraces","grassland",1300,1297.11217710728,3
"AL1",1998,"Txc",1,"terraces","grassland",450,0,2
"AL1",1998,"Txc",2,"terraces","grassland",1416.66666666667,579.511288357124,3
"AL1",1999,"Txc",1,"terraces","grassland",NA,NA,0
"AL1",1999,"Txc",2,"terraces","grassland",NA,NA,0
"AL1",2000,"Txc",1,"terraces","grassland",650,353.553390593274,2
"AL1",2000,"Txc",2,"terraces","grassland",643.75,239.69847129854,8
"AL1",2001,"Txc",1,"terraces","grassland",450,212.132034355964,2
"AL1",2001,"Txc",2,"terraces","grassland",900,261.861468283191,8
"AL1",2002,"Txc",1,"terraces","grassland",550,212.132034355964,2
"AL1",2002,"Txc",2,"terraces","grassland",1400,609.449400220044,8
"AL1",2003,"Txc",1,"terraces","grassland",450,70.7106781186548,2
"AL1",2003,"Txc",2,"terraces","grassland",850,130.930734141595,8
"AL1",2004,"Txc",1,"terraces","grassland",250,212.132034355964,2
"AL1",2004,"Txc",2,"terraces","grassland",1075,738.24115301167,8
"AL1",2005,"Txc",1,"terraces","grassland",1775,742.462120245875,2
"AL1",2005,"Txc",2,"terraces","grassland",1825,1096.42275475423,8
"AL1",2014,"Txc",1,"terraces","grassland",800,282.842712474619,2
"AL1",2014,"Txc",2,"terraces","grassland",293.75,182.125349298616,8
"BK5",1997,"TuB",1,"terraces","grassland",650,647.108955277239,5
"BK5",1998,"TuB",1,"terraces","grassland",1150,310.241841149771,5
"BK5",1999,"TuB",1,"terraces","grassland",NA,NA,0
"BK5",2000,"TuB",1,"terraces","grassland",NA,NA,0
"BK5",2001,"TuB",1,"terraces","grassland",1105,337.844474409289,10
"BK5",2002,"TuB",1,"terraces","grassland",615,779.975070826697,10
"BK5",2003,"TuB",1,"terraces","grassland",795,853.245438181639,10
"BK5",2004,"TuB",1,"terraces","grassland",830,781.807023646003,10
"BK5",2005,"TuB",1,"terraces","grassland",1380,625.033332444492,10
"BK5",2014,"TuB",1,"terraces","grassland",255,200.624026477389,10
"BL7",1997,"TgD",2,"foothills","grassland",700,NA,1
"BL7",1997,"TgD",2,"foothills","woodland",NA,NA,0
"BL7",1997,"TgD",3,"foothills","grassland",1800,1469.12672473593,4
"BL7",1998,"TgD",2,"foothills","grassland",3350,NA,1
"BL7",1998,"TgD",2,"foothills","woodland",NA,NA,0
"BL7",1998,"TgD",3,"foothills","grassland",3650,4964.03733534173,4
"BL7",1999,"TgD",2,"foothills","grassland",1900,NA,1
"BL7",1999,"TgD",2,"foothills","woodland",NA,NA,0
"BL7",1999,"TgD",3,"foothills","grassland",1512.5,939.303820212963,4
"BL7",2000,"TgD",2,"foothills","grassland",1825,236.29078131263,4
"BL7",2000,"TgD",2,"foothills","woodland",2650,494.974746830583,2
"BL7",2000,"TgD",3,"foothills","grassland",1737.5,1388.26930624669,4
"BL7",2001,"TgD",2,"foothills","grassland",2050,903.696114115064,4
"BL7",2001,"TgD",2,"foothills","woodland",1250,1060.66017177982,2
"BL7",2001,"TgD",3,"foothills","grassland",1425,928.708781050335,4
"BL7",2002,"TgD",2,"foothills","grassland",1587.5,301.039864469807,4
"BL7",2002,"TgD",2,"foothills","woodland",1100,636.396103067893,2
"BL7",2002,"TgD",3,"foothills","grassland",1575,644.85140407177,4
"BL7",2003,"TgD",2,"foothills","grassland",875,150,4
"BL7",2003,"TgD",2,"foothills","woodland",750,70.7106781186548,2
"BL7",2003,"TgD",3,"foothills","grassland",825,518.812747209113,4
"BL7",2004,"TgD",2,"foothills","grassland",775,309.569593683445,4
"BL7",2004,"TgD",2,"foothills","woodland",800,282.842712474619,2
"BL7",2004,"TgD",3,"foothills","grassland",887.5,497.284291594523,4
"BL7",2005,"TgD",2,"foothills","grassland",2800,2814.24945589406,4
"BL7",2005,"TgD",2,"foothills","woodland",900,141.42135623731,2
"BL7",2005,"TgD",3,"foothills","grassland",4637.5,1988.87531031988,4
"BL7",2014,"TgD",2,"foothills","grassland",337.5,94.6484724300046,4
"BL7",2014,"TgD",2,"foothills","woodland",1275,247.487373415292,2
"BL7",2014,"TgD",3,"foothills","grassland",1500,1876.16630392937,4
