"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",0.0951541465372883,0.1564449147917,74,0.608227801229477,0.999822414049483
"1997 - 1999",-0.0839706161521739,0.1564449147917,74,-0.536742381585093,0.999937561367673
"1997 - 2000",0.166245227700079,0.135485270502504,74,1.22703543406223,0.965531484881044
"1997 - 2001",0.111495020397206,0.135485270502504,74,0.82293093547129,0.997990651725364
"1997 - 2002",0.328100258472037,0.135485270502504,74,2.42166736837989,0.328537192944689
"1997 - 2003",0.812331082892832,0.137971446139843,74,5.88767535327189,4.63736371714152e-06
"1997 - 2004",0.484012041632348,0.135485270502504,74,3.57243292822302,0.0207687145172414
"1997 - 2005",0.463300514358116,0.135485270502504,74,3.41956371079876,0.0323553697609524
"1997 - 2014",0.866365147731095,0.135485270502504,74,6.39453384502844,5.68079621010575e-07
"1998 - 1999",-0.179124762689462,0.1564449147917,74,-1.14497018281457,0.978049910115234
"1998 - 2000",0.0710910811627905,0.135485270502504,74,0.524714464525328,0.999948440011228
"1998 - 2001",0.016340873859918,0.135485270502504,74,0.120609965934386,0.999999999880323
"1998 - 2002",0.232946111934748,0.135485270502504,74,1.71934639884299,0.780997593046847
"1998 - 2003",0.717176936355544,0.137971446139842,74,5.19800985218812,7.25399097963875e-05
"1998 - 2004",0.388857895095059,0.135485270502504,74,2.87011195868612,0.132984507383906
"1998 - 2005",0.368146367820828,0.135485270502504,74,2.71724274126186,0.186104737995988
"1998 - 2014",0.771211001193806,0.135485270502504,74,5.69221287549154,1.02550360828735e-05
"1999 - 2000",0.250215843852253,0.135485270502504,74,1.8468121510495,0.703581408068018
"1999 - 2001",0.19546563654938,0.135485270502504,74,1.44270765245856,0.909334929950671
"1999 - 2002",0.41207087462421,0.135485270502504,74,3.04144408536716,0.0884371558397995
"1999 - 2003",0.896301699045006,0.137971446139843,74,6.49628400746448,3.70407679639584e-07
"1999 - 2004",0.567982657784522,0.135485270502504,74,4.19220964521029,0.00287204161439725
"1999 - 2005",0.54727113051029,0.135485270502504,74,4.03934042778603,0.00479416682873646
"1999 - 2014",0.950335763883268,0.135485270502504,74,7.01431056201571,4.09097939968461e-08
"2000 - 2001",-0.0547502073028724,0.110623260131362,74,-0.494924912155526,0.999968606399804
"2000 - 2002",0.161855030771958,0.110623260131362,74,1.46311933475617,0.90203759842805
"2000 - 2003",0.646085855192754,0.113654595634642,74,5.68464347248821,1.05729229283869e-05
"2000 - 2004",0.317766813932269,0.110623260131362,74,2.87251355234811,0.132255761865241
"2000 - 2005",0.297055286658038,0.110623260131362,74,2.68528776231411,0.198951369051342
"2000 - 2014",0.700119920031016,0.110623260131362,74,6.32886717675505,7.47894993380349e-07
"2001 - 2002",0.21660523807483,0.110623260131362,74,1.9580442469117,0.63022008058314
"2001 - 2003",0.700836062495626,0.113654595634642,74,6.16636800810553,1.47171881048624e-06
"2001 - 2004",0.372517021235141,0.110623260131362,74,3.36743846450364,0.0374628793523303
"2001 - 2005",0.35180549396091,0.110623260131362,74,3.18021267446963,0.062133764207897
"2001 - 2014",0.754870127333888,0.110623260131362,74,6.82379208891058,9.24290620707424e-08
"2002 - 2003",0.484230824420796,0.113654595634642,74,4.26054768587996,0.00227358352011664
"2002 - 2004",0.155911783160311,0.110623260131362,74,1.40939421759194,0.920479387601854
"2002 - 2005",0.13520025588608,0.110623260131362,74,1.22216842755794,0.966394035622599
"2002 - 2014",0.538264889259058,0.110623260131362,74,4.86574784199888,0.000257429537878773
"2003 - 2004",-0.328319041260485,0.113654595634642,74,-2.8887440884125,0.127412642579408
"2003 - 2005",-0.349030568534716,0.113654595634642,74,-3.07097629080238,0.0821715753683326
"2003 - 2014",0.0540340648382622,0.113654595634642,74,0.475423492878036,0.999977724880986
"2004 - 2005",-0.0207115272742314,0.110623260131362,74,-0.187225790034003,0.999999993861757
"2004 - 2014",0.382353106098747,0.110623260131362,74,3.45635362440695,0.0291337560832253
"2005 - 2014",0.403064633372978,0.110623260131362,74,3.64357941444095,0.01678620165095
