"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.432127859846633,0.189248188374995,62,-2.28339231966846,0.414114348900565
"1997 - 1999",-0.415138407096763,0.163893738752929,62,-2.53297295098373,0.272032576985913
"1997 - 2000",-0.00355822066695667,0.163893738752928,62,-0.0217105344843022,1
"1997 - 2001",-0.0929096513975231,0.163893738752928,62,-0.566889571892588,0.999897973796853
"1997 - 2002",-0.201276560860777,0.163893738752929,62,-1.22809182579087,0.96483154024537
"1997 - 2003",-0.48783518371042,0.163893738752928,62,-2.97653337718921,0.106985026722288
"1997 - 2004",0.282778757697214,0.163893738752928,62,1.7253786499038,0.776894332357215
"1997 - 2005",0,0,62,NA,NA
"1997 - 2014",0,0,62,NA,NA
"1998 - 1999",0.0169894527498702,0.163893738752928,62,0.103661389868481,0.999999999968095
"1998 - 2000",0.428569639179676,0.163893738752928,62,2.61492380636792,0.232908438369119
"1998 - 2001",0.33921820844911,0.163893738752928,62,2.06974476895963,0.55502177301056
"1998 - 2002",0.230851298985856,0.163893738752928,62,1.40854251506134,0.919962890770286
"1998 - 2003",-0.0557073238637867,0.163893738752928,62,-0.33989903633699,0.999998742713913
"1998 - 2004",0.714906617543847,0.163893738752928,62,4.36201299075602,0.00189534129499602
"1998 - 2005",0.432127859846633,0.189248188374995,62,2.28339231966846,0.414114348900565
"1998 - 2014",0.432127859846633,0.189248188374995,62,2.28339231966846,0.414114348900565
"1999 - 2000",0.411580186429806,0.133818677327228,62,3.07565576532613,0.0843641175544785
"1999 - 2001",0.32222875569924,0.133818677327228,62,2.40795053527013,0.33919997350882
"1999 - 2002",0.213861846235986,0.133818677327228,62,1.59814646585564,0.843957135302805
"1999 - 2003",-0.072696776613657,0.133818677327228,62,-0.543248357147417,0.999928618112954
"1999 - 2004",0.697917164793977,0.133818677327228,62,5.21539428376917,9.30961569369781e-05
"1999 - 2005",0.415138407096763,0.163893738752929,62,2.53297295098373,0.272032576985913
"1999 - 2014",0.415138407096763,0.163893738752929,62,2.53297295098373,0.272032576985913
"2000 - 2001",-0.0893514307305665,0.133818677327228,62,-0.667705230056001,0.999606494345683
"2000 - 2002",-0.19771834019382,0.133818677327228,62,-1.47750929947049,0.895824654389543
"2000 - 2003",-0.484276963043463,0.133818677327228,62,-3.61890412247355,0.0196075920847781
"2000 - 2004",0.28633697836417,0.133818677327228,62,2.13973851844304,0.507798501365598
"2000 - 2005",0.00355822066695667,0.163893738752928,62,0.0217105344843022,1
"2000 - 2014",0.00355822066695667,0.163893738752928,62,0.0217105344843022,1
"2001 - 2002",-0.108366909463254,0.133818677327228,62,-0.809804069414488,0.998178918865164
"2001 - 2003",-0.394925532312897,0.133818677327228,62,-2.95119889241755,0.11350141492304
"2001 - 2004",0.375688409094737,0.133818677327228,62,2.80744374849904,0.156730509012184
"2001 - 2005",0.0929096513975231,0.163893738752928,62,0.566889571892588,0.999897973796853
"2001 - 2014",0.0929096513975231,0.163893738752928,62,0.566889571892588,0.999897973796853
"2002 - 2003",-0.286558622849643,0.133818677327228,62,-2.14139482300306,0.50668871795464
"2002 - 2004",0.48405531855799,0.133818677327228,62,3.61724781791353,0.0197021501596381
"2002 - 2005",0.201276560860777,0.163893738752929,62,1.22809182579087,0.96483154024537
"2002 - 2014",0.201276560860777,0.163893738752929,62,1.22809182579087,0.96483154024537
"2003 - 2004",0.770613941407634,0.133818677327228,62,5.75864264091659,1.21187073405249e-05
"2003 - 2005",0.48783518371042,0.163893738752928,62,2.97653337718921,0.106985026722288
"2003 - 2014",0.48783518371042,0.163893738752928,62,2.97653337718921,0.106985026722288
"2004 - 2005",-0.282778757697214,0.163893738752928,62,-1.7253786499038,0.776894332357215
"2004 - 2014",-0.282778757697214,0.163893738752928,62,-1.7253786499038,0.776894332357215
"2005 - 2014",0,0,62,NA,NA
