"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.347999486599246,0.204100547926573,75,-1.70503945302705,0.789131604302598
"1997 - 1999",-0.14637467854539,0.204100547926574,75,-0.717169454136147,0.999320924337339
"1997 - 2000",-0.240868281888361,0.176756259430736,75,-1.36271429744047,0.934571510887096
"1997 - 2001",-0.168195159077598,0.176756259430736,75,-0.951565503927782,0.994010861695885
"1997 - 2002",-0.172372920583584,0.176756259430736,75,-0.975201224209713,0.992838076909371
"1997 - 2003",0.078918422669349,0.176756259430737,75,0.446481629128805,0.999987035566609
"1997 - 2004",0.0896502090832884,0.176756259430736,75,0.507196799547677,0.999961423818935
"1997 - 2005",-0.392125306070018,0.176756259430736,75,-2.21845216306852,0.453776561331986
"1997 - 2014",0.168891282692852,0.176756259430736,75,0.955503829039978,0.993827013699565
"1998 - 1999",0.201624808053856,0.204100547926574,75,0.987869998890895,0.99213760600433
"1998 - 2000",0.107131204710885,0.176756259430736,75,0.606095676927725,0.999827875293862
"1998 - 2001",0.179804327521647,0.176756259430737,75,1.01724447044041,0.990302224183052
"1998 - 2002",0.175626566015662,0.176756259430737,75,0.993608750158481,0.991802808314754
"1998 - 2003",0.426917909268595,0.176756259430737,75,2.415291603497,0.331974348135552
"1998 - 2004",0.437649695682534,0.176756259430737,75,2.47600677391587,0.298247275512134
"1998 - 2005",-0.0441258194707717,0.176756259430737,75,-0.249642188700326,0.999999920638944
"1998 - 2014",0.516890769292098,0.176756259430737,75,2.92431380340817,0.11704872135254
"1999 - 2000",-0.0944936033429712,0.176756259430737,75,-0.534598342640302,0.999939770643844
"1999 - 2001",-0.0218204805322085,0.176756259430737,75,-0.123449549127617,0.999999999852912
"1999 - 2002",-0.0259982420381936,0.176756259430737,75,-0.147085269409547,0.999999999292714
"1999 - 2003",0.225293101214739,0.176756259430737,75,1.27459758392897,0.95627421299909
"1999 - 2004",0.236024887628678,0.176756259430737,75,1.33531275434784,0.941975586595795
"1999 - 2005",-0.245750627524628,0.176756259430737,75,-1.39033620826835,0.92648508662403
"1999 - 2014",0.315265961238242,0.176756259430737,75,1.78361978384014,0.743112630974692
"2000 - 2001",0.0726731228107627,0.144320881482771,75,0.503552376233502,0.99996371680734
"2000 - 2002",0.0684953613047776,0.144320881482771,75,0.474604649036562,0.999978102151463
"2000 - 2003",0.31978670455771,0.144320881482771,75,2.21580343240827,0.455519870860149
"2000 - 2004",0.33051849097165,0.144320881482771,75,2.29016402599445,0.407485535305639
"2000 - 2005",-0.151257024181656,0.144320881482771,75,-1.04806056218354,0.988027958927059
"2000 - 2014",0.409759564581214,0.144320881482771,75,2.83922576117394,0.142391150352645
"2001 - 2002",-0.00417776150598514,0.144320881482771,75,-0.0289477271969399,1
"2001 - 2003",0.247113581746947,0.144320881482771,75,1.71225105617477,0.78507225853217
"2001 - 2004",0.257845368160887,0.144320881482771,75,1.78661164976095,0.741287808330972
"2001 - 2005",-0.223930146992419,0.144320881482771,75,-1.55161293841704,0.866329549016761
"2001 - 2014",0.337086441770451,0.144320881482771,75,2.33567338494044,0.379164166486369
"2002 - 2003",0.251291343252933,0.144320881482771,75,1.74119878337171,0.768432334872458
"2002 - 2004",0.262023129666872,0.144320881482771,75,1.81555937695789,0.723386668541801
"2002 - 2005",-0.219752385486434,0.144320881482771,75,-1.5226652112201,0.878765632270793
"2002 - 2014",0.341264203276436,0.144320881482771,75,2.36462111213738,0.36164081610958
"2003 - 2004",0.0107317864139394,0.144320881482771,75,0.0743605935861789,0.999999999998552
"2003 - 2005",-0.471043728739367,0.144320881482771,75,-3.26386399459181,0.0495861486609795
"2003 - 2014",0.0899728600235034,0.144320881482771,75,0.623422328765671,0.999782717913664
"2004 - 2005",-0.481775515153306,0.144320881482771,75,-3.33822458817798,0.0404651099411338
"2004 - 2014",0.079241073609564,0.144320881482771,75,0.549061735179493,0.999924580739424
"2005 - 2014",0.56101658876287,0.144320881482771,75,3.88728632335748,0.00780117856084173
