"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",0.202239575727728,0.174308818293256,75,1.1602372026152,0.976059853768218
"1997 - 1999",0.00328817356534534,0.174308818293257,75,0.0188640689412129,1
"1997 - 2000",0.407266871887156,0.150955864745605,75,2.69792016741776,0.193549769958008
"1997 - 2001",0.106625772310801,0.150955864745606,75,0.706337395307488,0.999399021714176
"1997 - 2002",0.46904274289708,0.150955864745606,75,3.10715150873749,0.0747949960292567
"1997 - 2003",0.546090256086339,0.150955864745606,75,3.61754912276262,0.0180508043886595
"1997 - 2004",0.434505515355177,0.150955864745606,75,2.87836127524701,0.130249135828691
"1997 - 2005",0.50091387337321,0.150955864745606,75,3.31828030807125,0.04275398939914
"1997 - 2014",0.575111743305842,0.150955864745606,75,3.80980059486283,0.0099821544617843
"1998 - 1999",-0.198951402162383,0.174308818293257,75,-1.14137313367398,0.978531374238527
"1998 - 2000",0.205027296159428,0.150955864745606,75,1.35819364491035,0.935835011122609
"1998 - 2001",-0.0956138034169275,0.150955864745606,75,-0.633389127199914,0.999752405606483
"1998 - 2002",0.266803167169352,0.150955864745606,75,1.76742498623008,0.75290333034064
"1998 - 2003",0.34385068035861,0.150955864745606,75,2.27782260025521,0.415316478223396
"1998 - 2004",0.232265939627449,0.150955864745606,75,1.53863475273961,0.871992756154755
"1998 - 2005",0.298674297645482,0.150955864745606,75,1.97855378556384,0.616314239421788
"1998 - 2014",0.372872167578113,0.150955864745606,75,2.47007407235542,0.301451375275617
"1999 - 2000",0.40397869832181,0.150955864745606,75,2.6761378168553,0.202496379092072
"1999 - 2001",0.103337598745455,0.150955864745606,75,0.684555044745044,0.999533254771834
"1999 - 2002",0.465754569331735,0.150955864745606,75,3.08536915817503,0.0790393832965849
"1999 - 2003",0.542802082520993,0.150955864745606,75,3.59576677220017,0.0192689464887759
"1999 - 2004",0.431217341789832,0.150955864745606,75,2.85657892468456,0.136902954002174
"1999 - 2005",0.497625699807865,0.150955864745606,75,3.2964979575088,0.0453829636126656
"1999 - 2014",0.571823569740496,0.150955864745606,75,3.78801824430038,0.0106901090218983
"2000 - 2001",-0.300641099576355,0.123254947435775,75,-2.43918078609388,0.318459165516786
"2000 - 2002",0.0617758710099246,0.123254947435775,75,0.501203986494045,0.999965130785649
"2000 - 2003",0.138823384199183,0.123254947435776,75,1.12631084664183,0.980361669502587
"2000 - 2004",0.0272386434680217,0.123254947435776,75,0.220994321402108,0.999999973143714
"2000 - 2005",0.0936470014860546,0.123254947435776,75,0.759782900681137,0.998925037367886
"2000 - 2014",0.167844871418686,0.123254947435776,75,1.36176985111405,0.934836861369957
"2001 - 2002",0.36241697058628,0.123254947435775,75,2.94038477258793,0.112692728773861
"2001 - 2003",0.439464483775538,0.123254947435776,75,3.56549163273571,0.021086303851982
"2001 - 2004",0.327879743044377,0.123254947435776,75,2.66017510749599,0.209236710354321
"2001 - 2005",0.39428810106241,0.123254947435776,75,3.19896368677502,0.0589597443911037
"2001 - 2014",0.468485970995041,0.123254947435776,75,3.80095063720793,0.0102643824078827
"2002 - 2003",0.0770475131892582,0.123254947435776,75,0.625106860147787,0.9997778304111
"2002 - 2004",-0.0345372275419029,0.123254947435776,75,-0.280209665091937,0.999999779173063
"2002 - 2005",0.03187113047613,0.123254947435776,75,0.258578914187093,0.999999891580395
"2002 - 2014",0.106069000408761,0.123254947435776,75,0.860565864620003,0.997174059391731
"2003 - 2004",-0.111584740731161,0.123254947435776,75,-0.905316525239723,0.995857896261174
"2003 - 2005",-0.0451763827131282,0.123254947435776,75,-0.366527945960694,0.999997658565377
"2003 - 2014",0.029021487219503,0.123254947435776,75,0.235459004472216,0.999999952796085
"2004 - 2005",0.066408358018033,0.123254947435776,75,0.538788579279029,0.999935670432917
"2004 - 2014",0.140606227950664,0.123254947435776,75,1.14077552971194,0.978606371913338
"2005 - 2014",0.0741978699326312,0.123254947435776,75,0.60198695043291,0.999837312758998
