"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.234107236346446,0.177917513843039,66,-1.31581895053332,0.94641931819262
"1997 - 1999",-0.357322161427169,0.177917513843039,66,-2.00835855733912,0.59641171868219
"1997 - 2000",0.0507335307741292,0.154081086766242,66,0.329265141094815,0.999999061285914
"1997 - 2001",-0.246870407737062,0.154081086766242,66,-1.60221097162685,0.842317910800108
"1997 - 2002",0.335147597973134,0.154081086766242,66,2.17513781221954,0.483617784623141
"1997 - 2003",0.0374399205765611,0.154081086766242,66,0.242988424876322,0.999999935933017
"1997 - 2004",0.00015225283348117,0.154081086766242,66,0.000988134473065825,1
"1997 - 2005",0.0726018156435344,0.154081086766242,66,0.471192260953347,0.999978924017841
"1997 - 2014",0,0,66,NA,NA
"1998 - 1999",-0.123214925080723,0.17791751384304,66,-0.692539606805796,0.999476889345001
"1998 - 2000",0.284840767120575,0.154081086766242,66,1.84864199168526,0.70225639311509
"1998 - 2001",-0.0127631713906165,0.154081086766242,66,-0.0828341210364104,0.999999999995866
"1998 - 2002",0.569254834319579,0.154081086766242,66,3.69451466280999,0.0152052016887425
"1998 - 2003",0.271547156923007,0.154081086766242,66,1.76236527546677,0.755544893158134
"1998 - 2004",0.234259489179927,0.154081086766242,66,1.52036498506351,0.879114745498655
"1998 - 2005",0.30670905198998,0.154081086766242,66,1.99056911154379,0.608465523667963
"1998 - 2014",0.234107236346446,0.177917513843039,66,1.31581895053332,0.94641931819262
"1999 - 2000",0.408055692201298,0.154081086766242,66,2.64831784851287,0.216806797641079
"1999 - 2001",0.110451753690107,0.154081086766242,66,0.716841735791197,0.999309864719549
"1999 - 2002",0.692469759400303,0.154081086766242,66,4.4941905196376,0.00113039762715539
"1999 - 2003",0.39476208200373,0.154081086766242,66,2.56204113229437,0.256451551391208
"1999 - 2004",0.35747441426065,0.154081086766242,66,2.32004084189112,0.390456604744052
"1999 - 2005",0.429923977070704,0.154081086766242,66,2.7902449683714,0.161314529048075
"1999 - 2014",0.357322161427169,0.177917513843039,66,2.00835855733912,0.59641171868219
"2000 - 2001",-0.297603938511191,0.125806680530265,66,-2.36556546327123,0.362904040830692
"2000 - 2002",0.284414067199004,0.125806680530265,66,2.2607230872019,0.427703214634919
"2000 - 2003",-0.0132936101975682,0.125806680530265,66,-0.105666965709108,0.999999999962623
"2000 - 2004",-0.0505812779406481,0.125806680530265,66,-0.402055580255771,0.999994631217705
"2000 - 2005",0.0218682848694052,0.125806680530265,66,0.173824512158115,0.999999996763272
"2000 - 2014",-0.0507335307741292,0.154081086766242,66,-0.329265141094815,0.999999061285914
"2001 - 2002",0.582018005710196,0.125806680530265,66,4.62628855047313,0.000711772797746146
"2001 - 2003",0.284310328313623,0.125806680530265,66,2.25989849756212,0.428230663485226
"2001 - 2004",0.247022660570543,0.125806680530265,66,1.96350988301546,0.626721875306938
"2001 - 2005",0.319472223380597,0.125806680530265,66,2.53938997542934,0.267601559709502
"2001 - 2014",0.246870407737062,0.154081086766242,66,1.60221097162685,0.842317910800108
"2002 - 2003",-0.297707677396573,0.125806680530265,66,-2.36639005291101,0.362413996356485
"2002 - 2004",-0.334995345139653,0.125806680530265,66,-2.66277866745768,0.210602230623916
"2002 - 2005",-0.262545782329599,0.125806680530265,66,-2.08689857504379,0.543026583805001
"2002 - 2014",-0.335147597973134,0.154081086766242,66,-2.17513781221954,0.483617784623141
"2003 - 2004",-0.0372876677430799,0.125806680530265,66,-0.296388614546663,0.999999628105132
"2003 - 2005",0.0351618950669734,0.125806680530265,66,0.279491477867223,0.999999778553311
"2003 - 2014",-0.0374399205765611,0.154081086766242,66,-0.242988424876322,0.999999935933017
"2004 - 2005",0.0724495628100533,0.125806680530265,66,0.575880092413887,0.999885010733483
"2004 - 2014",-0.00015225283348117,0.154081086766242,66,-0.000988134473065825,1
"2005 - 2014",-0.0726018156435344,0.154081086766242,66,-0.471192260953347,0.999978924017841
