"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.669942859427588,0.256505406789438,75,-2.61180794515391,0.230614333888525
"1997 - 1999",-0.424378901861436,0.256505406789439,75,-1.65446376812556,0.816573544235596
"1997 - 2000",-0.252361780521946,0.222140198487714,75,-1.13604733515129,0.979192754492398
"1997 - 2001",-0.322586409257861,0.222140198487715,75,-1.4521748492797,0.906052719974198
"1997 - 2002",-0.481290229465298,0.222140198487715,75,-2.1666057415174,0.488252832039929
"1997 - 2003",-0.260872903661591,0.222140198487715,75,-1.17436153131023,0.974073353573872
"1997 - 2004",-0.250356392627139,0.222140198487715,75,-1.1270197574843,0.980278292875129
"1997 - 2005",-0.695916428124861,0.222140198487715,75,-3.13278025707422,0.0700487438040976
"1997 - 2014",-0.388586253691455,0.222140198487715,75,-1.74928381417173,0.763689510628671
"1998 - 1999",0.245563957566153,0.256505406789439,75,0.957344177028332,0.993739558182231
"1998 - 2000",0.417581078905642,0.222140198487715,75,1.87980870526113,0.682252862651561
"1998 - 2001",0.347356450169727,0.222140198487715,75,1.56368119113271,0.860936473144888
"1998 - 2002",0.188652629962291,0.222140198487715,75,0.849250298895017,0.997445414030886
"1998 - 2003",0.409069955765998,0.222140198487715,75,1.84149450910219,0.706997251954476
"1998 - 2004",0.41958646680045,0.222140198487715,75,1.88883628292812,0.676340805578486
"1998 - 2005",-0.025973568697273,0.222140198487715,75,-0.1169242166618,0.999999999909656
"1998 - 2014",0.281356605736133,0.222140198487715,75,1.26657222624068,0.957955639166949
"1999 - 2000",0.17201712133949,0.222140198487716,75,0.774362868632272,0.998751357074835
"1999 - 2001",0.101792492603575,0.222140198487716,75,0.458235354503853,0.999983791033072
"1999 - 2002",-0.0569113276038622,0.222140198487716,75,-0.25619553773384,0.99999990012713
"1999 - 2003",0.163505998199845,0.222140198487716,75,0.736048672473329,0.999164263868434
"1999 - 2004",0.174022509234297,0.222140198487716,75,0.783390446299257,0.998632471062294
"1999 - 2005",-0.271537526263426,0.222140198487716,75,-1.22237005329066,0.966393245061317
"1999 - 2014",0.0357926481699802,0.222140198487716,75,0.161126389611827,0.999999998400113
"2000 - 2001",-0.070224628735915,0.181376712551826,75,-0.387175551634553,0.999996224532433
"2000 - 2002",-0.228928448943352,0.181376712551826,75,-1.26217112286639,0.95885778771592
"2000 - 2003",-0.00851112313964486,0.181376712551826,75,-0.0469251152471568,1
"2000 - 2004",0.00200538789480736,0.181376712551826,75,0.0110564794487294,1
"2000 - 2005",-0.443554647602915,0.181376712551826,75,-2.44548840566385,0.314943036028908
"2000 - 2014",-0.136224473169509,0.181376712551826,75,-0.751058232630526,0.999018905777664
"2001 - 2002",-0.158703820207437,0.181376712551826,75,-0.874995571231833,0.996794001960196
"2001 - 2003",0.0617135055962701,0.181376712551826,75,0.340250436387396,0.999998778936763
"2001 - 2004",0.0722300166307224,0.181376712551826,75,0.398232031083282,0.999995177409545
"2001 - 2005",-0.373330018867,0.181376712551826,75,-2.0583128540293,0.561864468018901
"2001 - 2014",-0.0659998444335944,0.181376712551826,75,-0.363882680995973,0.999997802112012
"2002 - 2003",0.220417325803707,0.181376712551826,75,1.21524600761923,0.967627242370849
"2002 - 2004",0.230933836838159,0.181376712551826,75,1.27322760231512,0.956564588262864
"2002 - 2005",-0.214626198659564,0.181376712551826,75,-1.18331728279746,0.97275137426562
"2002 - 2014",0.0927039757738425,0.181376712551826,75,0.511112890235859,0.999958820603515
"2003 - 2004",0.0105165110344522,0.181376712551826,75,0.0579815946958861,1
"2003 - 2005",-0.435043524463271,0.181376712551826,75,-2.39856329041669,0.341621259484
"2003 - 2014",-0.127713350029865,0.181376712551826,75,-0.704133117383369,0.999413944239332
"2004 - 2005",-0.445560035497723,0.181376712551826,75,-2.45654488511258,0.308833371539499
"2004 - 2014",-0.138229861064317,0.181376712551826,75,-0.762114712079255,0.998898709408167
"2005 - 2014",0.307330174433406,0.181376712551826,75,1.69443017303332,0.795038826388799
