"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.310372424375799,0.138063303935771,66,-2.24804430669128,0.435840121043863
"1997 - 1999",-0.166421881509567,0.138063303935771,66,-1.20540271574979,0.968948191722795
"1997 - 2000",-0.0676558009798953,0.11956632853879,66,-0.565843258772858,0.999900720849449
"1997 - 2001",-0.391618096801852,0.11956632853879,66,-3.27532091674791,0.0498535123379108
"1997 - 2002",-0.1820734125706,0.11956632853879,66,-1.52278166266125,0.878108103775869
"1997 - 2003",-0.0906937836273714,0.11956632853879,66,-0.758522777572352,0.998918587750294
"1997 - 2004",-0.350063013261579,0.11956632853879,66,-2.92777253880477,0.118516576338663
"1997 - 2005",0.176390772495244,0.11956632853879,66,1.47525456916592,0.896994472447259
"1997 - 2014",0,0,66,NA,NA
"1998 - 1999",0.143950542866231,0.138063303935771,66,1.04264159094149,0.988295371598257
"1998 - 2000",0.242716623395903,0.11956632853879,66,2.02997471246398,0.581729570714412
"1998 - 2001",-0.0812456724260534,0.11956632853879,66,-0.679502945511081,0.99955136918055
"1998 - 2002",0.128299011805198,0.11956632853879,66,1.07303630857558,0.985706868151101
"1998 - 2003",0.219678640748427,0.11956632853879,66,1.83729519366448,0.709469162143957
"1998 - 2004",-0.0396905888857806,0.11956632853879,66,-0.331954567567943,0.999998991796289
"1998 - 2005",0.486763196871042,0.11956632853879,66,4.07107254040276,0.00468838905847802
"1998 - 2014",0.310372424375799,0.138063303935771,66,2.24804430669128,0.435840121043863
"1999 - 2000",0.0987660805296718,0.11956632853879,66,0.826035906067233,0.997897829419925
"1999 - 2001",-0.225196215292285,0.11956632853879,66,-1.88344175190782,0.679812597997636
"1999 - 2002",-0.0156515310610331,0.11956632853879,66,-0.130902497821161,0.999999999744501
"1999 - 2003",0.0757280978821957,0.11956632853879,66,0.63335638726774,0.999747210810224
"1999 - 2004",-0.183641131752012,0.11956632853879,66,-1.53589337396468,0.872560696644797
"1999 - 2005",0.342812654004811,0.11956632853879,66,2.86713373400602,0.136121786574492
"1999 - 2014",0.166421881509567,0.138063303935771,66,1.20540271574979,0.968948191722795
"2000 - 2001",-0.323962295821957,0.0976254984460033,66,-3.31841886575504,0.0444225222830503
"2000 - 2002",-0.114417611590705,0.0976254984460033,66,-1.17200540239996,0.974122700561222
"2000 - 2003",-0.0230379826474761,0.0976254984460033,66,-0.235983252471878,0.999999950594396
"2000 - 2004",-0.282407212281684,0.0976254984460033,66,-2.89276077230871,0.128445337214631
"2000 - 2005",0.244046573475139,0.0976254984460033,66,2.49982409677653,0.287804985094348
"2000 - 2014",0.0676558009798953,0.11956632853879,66,0.565843258772858,0.999900720849449
"2001 - 2002",0.209544684231252,0.0976254984460033,66,2.14641346335508,0.50281649043858
"2001 - 2003",0.300924313174481,0.0976254984460033,66,3.08243561328316,0.0818053628881852
"2001 - 2004",0.0415550835402728,0.0976254984460033,66,0.425658093446323,0.999991203252021
"2001 - 2005",0.568008869297096,0.0976254984460032,66,5.81824296253158,8.19331068746543e-06
"2001 - 2014",0.391618096801852,0.11956632853879,66,3.27532091674791,0.0498535123379108
"2002 - 2003",0.0913796289432289,0.0976254984460033,66,0.936022149928085,0.994609165123019
"2002 - 2004",-0.167989600690979,0.0976254984460033,66,-1.72075536990875,0.779775551846486
"2002 - 2005",0.358464185065844,0.0976254984460033,66,3.6718294991765,0.0162716040400624
"2002 - 2014",0.1820734125706,0.11956632853879,66,1.52278166266125,0.878108103775869
"2003 - 2004",-0.259369229634208,0.0976254984460033,66,-2.65677751983684,0.213161747986623
"2003 - 2005",0.267084556122615,0.0976254984460033,66,2.73580734924841,0.181188462782586
"2003 - 2014",0.0906937836273714,0.11956632853879,66,0.758522777572352,0.998918587750294
"2004 - 2005",0.526453785756823,0.0976254984460033,66,5.39258486908525,4.24307149621272e-05
"2004 - 2014",0.350063013261579,0.11956632853879,66,2.92777253880477,0.118516576338663
"2005 - 2014",-0.176390772495244,0.11956632853879,66,-1.47525456916592,0.896994472447259
