"contrast","estimate","SE","df","t.ratio","p.value"
"1997 - 1998",-0.0699580055252585,0.162342667632037,75,-0.430928027398344,0.999990449481442
"1997 - 1999",-0.165655786796921,0.162342667632037,75,-1.02040818481801,0.99008586415198
"1997 - 2000",0.0175073752356079,0.140592874287478,75,0.124525338317002,0.999999999841008
"1997 - 2001",-0.551589960520446,0.140592874287478,75,-3.923313776149,0.00694627444816698
"1997 - 2002",-0.0272044537512469,0.140592874287478,75,-0.193498097888094,0.999999991783753
"1997 - 2003",-0.132257950512392,0.140592874287478,75,-0.940715887506197,0.994494602668372
"1997 - 2004",-0.199283197566303,0.140592874287478,75,-1.4174487759516,0.917926917927528
"1997 - 2005",-0.460897700947604,0.140592874287478,75,-3.27824367545955,0.0476939979800775
"1997 - 2014",-0.0225778074376607,0.140592874287478,75,-0.160589984037844,0.999999998447146
"1998 - 1999",-0.0956977812716625,0.162342667632037,75,-0.58948015741967,0.999863354685353
"1998 - 2000",0.0874653807608664,0.140592874287478,75,0.622118163556576,0.999786438235696
"1998 - 2001",-0.481631954995187,0.140592874287478,75,-3.42572095090942,0.0316522191035833
"1998 - 2002",0.0427535517740116,0.140592874287478,75,0.304094727351481,0.9999995452996
"1998 - 2003",-0.0622999449871336,0.140592874287478,75,-0.443123062266623,0.999987851480587
"1998 - 2004",-0.129325192041044,0.140592874287478,75,-0.919855950712025,0.995335839651404
"1998 - 2005",-0.390939695422345,0.140592874287478,75,-2.78065085021997,0.162176156750228
"1998 - 2014",0.0473801980875978,0.140592874287478,75,0.33700284120173,0.999998877454056
"1999 - 2000",0.183163162032529,0.140592874287478,75,1.30279121869295,0.949987010465577
"1999 - 2001",-0.385934173723525,0.140592874287478,75,-2.74504789577303,0.175176758300959
"1999 - 2002",0.138451333045674,0.140592874287478,75,0.984767782487858,0.992313986889964
"1999 - 2003",0.033397836284529,0.140592874287478,75,0.237549992869756,0.999999948937172
"1999 - 2004",-0.0336274107693818,0.140592874287478,75,-0.239182895575646,0.999999945732246
"1999 - 2005",-0.295241914150683,0.140592874287478,75,-2.09997779508359,0.533387675384416
"1999 - 2014",0.14307797935926,0.140592874287478,75,1.01767589633811,0.990272942039066
"2000 - 2001",-0.569097335756054,0.114793601158527,75,-4.95757019566049,0.000178754948070514
"2000 - 2002",-0.0447118289868548,0.114793601158527,75,-0.389497572474521,0.999996022920725
"2000 - 2003",-0.149765325748,0.114793601158527,75,-1.30464872812185,0.949551613363531
"2000 - 2004",-0.216790572801911,0.114793601158527,75,-1.88852488826906,0.676545209846374
"2000 - 2005",-0.478405076183211,0.114793601158527,75,-4.16752389815304,0.00309122100869774
"2000 - 2014",-0.0400851826732686,0.114793601158527,75,-0.349193528809257,0.9999984672279
"2001 - 2002",0.524385506769199,0.114793601158527,75,4.56807262318597,0.000758142123052141
"2001 - 2003",0.419332010008054,0.114793601158528,75,3.65292146753864,0.0162214722596437
"2001 - 2004",0.352306762954143,0.114793601158528,75,3.06904530739144,0.0823509982677185
"2001 - 2005",0.0906922595728422,0.114793601158528,75,0.790046297507455,0.998538877382394
"2001 - 2014",0.529012153082785,0.114793601158528,75,4.60837666685123,0.000655030431709558
"2002 - 2003",-0.105053496761145,0.114793601158527,75,-0.91515115564733,0.995510315987341
"2002 - 2004",-0.172078743815056,0.114793601158527,75,-1.49902731579454,0.888391464469624
"2002 - 2005",-0.433693247196357,0.114793601158527,75,-3.77802632567852,0.0110301606130327
"2002 - 2014",0.0046266463135862,0.114793601158527,75,0.0403040436652641,1
"2003 - 2004",-0.0670252470539107,0.114793601158528,75,-0.583876160147204,0.999873804882185
"2003 - 2005",-0.328639750435212,0.114793601158528,75,-2.86287517003118,0.134952936507765
"2003 - 2014",0.109680143074731,0.114793601158528,75,0.955455199312594,0.993829311221537
"2004 - 2005",-0.261614503381301,0.114793601158528,75,-2.27899900988398,0.414567402577553
"2004 - 2014",0.176705390128642,0.114793601158528,75,1.5393313594598,0.871692392782777
"2005 - 2014",0.438319893509943,0.114793601158528,75,3.81833036934378,0.00971695847418153
