"contrast","estimate","SE","df","t.ratio","p.value"
"Kc - SuD",-0.130418343669246,0.0654719436237601,969,-1.99197299561941,0.549358155057185
"Kc - TfD",-0.0830673309536702,0.0679013690365051,969,-1.22335281500748,0.95137741083071
"Kc - TgD",-0.060830681131911,0.0459024090367341,969,-1.32521761729826,0.923793411298658
"Kc - TgE",-0.270554561990136,0.0755223484903657,969,-3.58244370571514,0.0107245556556512
"Kc - ThE",-0.0915454031240232,0.047336137032513,969,-1.93394325906115,0.590183206442696
"Kc - ToE",-0.00368630372234386,0.11769307970037,969,-0.0313213294420425,1
"Kc - TuB",0.175079228873051,0.0462478044945121,969,3.78567654803648,0.00510005165639149
"Kc - Txc",0.0851173761437354,0.056190425399215,969,1.51480213112828,0.848702009296252
"SuD - TfD",0.0473510127155762,0.0750863300725332,969,0.630620948844287,0.999435014873394
"SuD - TgD",0.0695876625373355,0.0559856428212222,969,1.24295549770766,0.94672226584419
"SuD - TgE",-0.140136218320889,0.0820425875276374,969,-1.70809115782315,0.741622081024232
"SuD - ThE",0.0388729405452233,0.0571670439667002,969,0.679988641145531,0.999019421515941
"SuD - ToE",0.126732039946903,0.121979596884428,969,1.03896096711139,0.981994929345332
"SuD - TuB",0.305497572542297,0.0562691786619674,969,5.42921684315936,2.5496765582167e-06
"SuD - Txc",0.215535719812982,0.0646894500925349,969,3.3318527133044,0.0250731330785527
"TfD - TgD",0.0222366498217593,0.0588082708236199,969,0.378121130077984,0.99998840775607
"TfD - TgE",-0.187487231036465,0.083994087193021,969,-2.23214796781605,0.385504698188649
"TfD - ThE",-0.00847807217035292,0.059934059023642,969,-0.141456666017041,0.999999995082554
"TfD - ToE",0.0793810272313264,0.123300618697743,969,0.643800721113327,0.999342233795039
"TfD - TuB",0.258146559826721,0.0590782615049832,969,4.36956933482118,0.000467683897015236
"TfD - Txc",0.168184707097406,0.0671471925580912,969,2.50471688673959,0.230825226622961
"TgD - TgE",-0.209723880858225,0.0674643752044949,969,-3.10866113000409,0.0500196791419574
"TgD - ThE",-0.0307147219921122,0.032992827544687,969,-0.930951490911496,0.991188917004451
"TgD - ToE",0.0571443774095671,0.112691959826734,969,0.507084777808705,0.999889444461847
"TgD - TuB",0.235909910004961,0.0314114027193188,969,7.51032712906739,4.89941420767082e-12
"TgD - Txc",0.145948057275646,0.0447792441514748,969,3.25927916027228,0.0316056080120038
"TgE - ThE",0.179009158866113,0.0684479410612038,969,2.61525994925178,0.181466463486265
"TgE - ToE",0.266868258267792,0.127656068307444,969,2.09052543922214,0.480402150762201
"TgE - TuB",0.445633790863186,0.0676998536698552,969,6.58249267474582,2.72122413491616e-09
"TgE - Txc",0.355671938133871,0.0748450043282915,969,4.75211326829233,8.07362404945389e-05
"ThE - ToE",0.0878590994016793,0.113283522735548,969,0.775568213982713,0.997484896878476
"ThE - TuB",0.266624631997074,0.0334717034908653,969,7.96567261865946,2.96984659087229e-13
"ThE - Txc",0.176662779267759,0.0462478044945117,969,3.81991710090202,0.00447890404700635
"ToE - TuB",0.178765532595394,0.112833089449759,969,1.58433606194035,0.813421660653893
"ToE - Txc",0.0888036798660792,0.117259586221168,969,0.757325543504677,0.997874590358395
"TuB - Txc",-0.0899618527293151,0.0451332357799033,969,-1.99325067602117,0.548458496501584
