transect,year,plot,meas_est,rdm,soil,slope_class,landform,habitat
AL1,1997,1,1,4,Txc,1,Plains,1
AL1,1997,2,1,1.5,Txc,1,Plains,1
AL1,1997,3,1,9,Txc,2,Plains,1
AL1,1997,4,1,2.5,Txc,2,Plains,1
AL1,1997,5,1,27.5,Txc,2,Plains,1
AL1,1997,1,2,,Txc,2,Plains,1
AL1,1997,2,2,,Txc,2,Plains,1
AL1,1997,3,2,,Txc,2,Plains,1
AL1,1997,4,2,,Txc,2,Plains,1
AL1,1997,5,2,,Txc,2,Plains,1
AL1,1998,1,1,4.5,Txc,1,Plains,1
AL1,1998,2,1,4.5,Txc,1,Plains,1
AL1,1998,3,1,7.5,Txc,2,Plains,1
AL1,1998,4,1,18,Txc,2,Plains,1
AL1,1998,5,1,17,Txc,2,Plains,1
AL1,1998,1,2,,Txc,2,Plains,1
AL1,1998,2,2,,Txc,2,Plains,1
AL1,1998,3,2,,Txc,2,Plains,1
AL1,1998,4,2,,Txc,2,Plains,1
AL1,1998,5,2,,Txc,2,Plains,1
AL1,1999,1,1,,Txc,1,Plains,1
AL1,1999,2,1,,Txc,1,Plains,1
AL1,1999,3,1,,Txc,2,Plains,1
AL1,1999,4,1,,Txc,2,Plains,1
AL1,1999,5,1,,Txc,2,Plains,1
AL1,1999,1,2,,Txc,2,Plains,1
AL1,1999,2,2,,Txc,2,Plains,1
AL1,1999,3,2,,Txc,2,Plains,1
AL1,1999,4,2,,Txc,2,Plains,1
AL1,1999,5,2,,Txc,2,Plains,1
AL1,2000,1,1,4,Txc,1,Plains,1
AL1,2000,2,1,9,Txc,1,Plains,1
AL1,2000,3,1,5,Txc,2,Plains,1
AL1,2000,4,1,7,Txc,2,Plains,1
AL1,2000,5,1,6.5,Txc,2,Plains,1
AL1,2000,1,2,5.5,Txc,2,Plains,1
AL1,2000,2,2,5,Txc,2,Plains,1
AL1,2000,3,2,4.5,Txc,2,Plains,1
AL1,2000,4,2,6,Txc,2,Plains,1
AL1,2000,5,2,12,Txc,2,Plains,1
AL1,2001,1,1,3,Txc,1,Plains,1
AL1,2001,2,1,6,Txc,1,Plains,1
AL1,2001,3,1,11,Txc,2,Plains,1
AL1,2001,4,1,10,Txc,2,Plains,1
AL1,2001,5,1,9,Txc,2,Plains,1
AL1,2001,1,2,5,Txc,2,Plains,1
AL1,2001,2,2,6,Txc,2,Plains,1
AL1,2001,3,2,8,Txc,2,Plains,1
